name,sgnum,numpeaks
1501845_0050,4,30
1501846_0050,19,24
1501848_0050,19,64
1501850_0050,61,8
1501852_0050,4,16
1501853_0050,2,45
1501856_0050,4,51
1501857_0050,19,51
1501858_0050,19,68
1501862_0050,61,93
1501867_0050,4,56
1501868_0050,4,38
1501869_0050,4,41
1501870_0050,19,18
1501871_0050,4,33
1501876_0050,19,73
1501880_0050,2,37
1501887_0050,2,55
1501891_0050,14,51
1501894_0050,19,45
1501905_0050,14,44
1501906_0050,14,28
1501910_0050,19,36
1501911_0050,5,28
1501915_0050,33,8
1501916_0050,14,24
1501928_0050,2,39
1501929_0050,144,36
1501930_0050,19,70
1501935_0050,19,47
1501938_0050,33,10
1501942_0050,4,28
1501943_0050,173,21
1501945_0050,14,40
1501947_0050,2,48
1501948_0050,2,57
1501952_0050,14,53
1501955_0050,2,30
1501961_0050,2,25
1501962_0050,14,36
1501964_0050,19,73
1501972_0050,2,49
1501973_0050,4,81
1501976_0050,14,19
1501979_0050,5,32
1501984_0050,14,23
1501985_0050,4,42
1501988_0050,19,77
1501990_0050,4,80
1502000_0050,2,32
1502016_0050,15,28
1502018_0050,2,58
1502019_0050,14,55
1502032_0050,2,39
1502033_0050,14,44
1502034_0050,14,17
1502036_0050,15,13
1502049_0050,19,19
1502056_0050,14,33
1502059_0050,2,40
1502062_0050,2,47
1502064_0050,2,44
1502066_0050,14,23
1502067_0050,19,21
1502073_0050,14,96
1502076_0050,2,13
1502078_0050,14,46
1502082_0050,4,56
1502085_0050,15,23
1502091_0050,19,35
1502092_0050,19,54
1502095_0050,19,40
1502096_0050,2,41
1502097_0050,14,75
1502108_0050,19,20
1502109_0050,14,33
1502111_0050,19,38
1502119_0050,61,21
1502122_0050,2,51
1502123_0050,2,87
1502124_0050,14,31
1502127_0050,14,76
1502133_0050,19,70
1502142_0050,14,23
1502144_0050,9,27
1502149_0050,33,18
1502151_0050,14,43
1502154_0050,19,61
1502161_0050,14,16
1502165_0050,15,12
1502169_0050,2,24
1502171_0050,19,59
1502172_0050,14,21
1502174_0050,14,16
1502199_0050,19,16
1502201_0050,4,28
1502203_0050,2,35
1502208_0050,19,24
1502213_0050,19,39
1502218_0050,14,21
1502220_0050,2,66
1502221_0050,14,64
1502222_0050,14,50
1502223_0050,19,34
1502233_0050,14,30
1502236_0050,56,38
1502240_0050,33,13
1502244_0050,2,73
1502245_0050,2,121
1502247_0050,9,23
1502252_0050,2,29
1502253_0050,14,37
1502264_0050,14,36
1502272_0050,4,17
1502273_0050,19,17
1502274_0050,2,38
1502277_0050,19,33
1502279_0050,19,32
1502280_0050,2,40
1502281_0050,2,43
1502284_0050,1,115
1502286_0050,14,74
1502289_0050,7,20
1502292_0050,14,41
1502294_0050,19,42
1502298_0050,4,46
1502299_0050,19,30
1502302_0050,2,122
1502307_0050,14,41
1502311_0050,14,32
1502317_0050,4,41
1502318_0050,14,52
1502320_0050,11,30
1502325_0050,19,51
1502334_0050,19,68
1502344_0050,19,26
1502345_0050,5,39
1502346_0050,92,31
1502350_0050,19,40
1502351_0050,2,27
1502353_0050,2,46
1502357_0050,2,41
1502363_0050,19,26
1502377_0050,14,51
1502379_0050,61,22
1502383_0050,19,33
1502387_0050,61,19
1502390_0050,14,32
1502392_0050,4,20
1502393_0050,19,53
1502396_0050,14,29
1502398_0050,14,92
1502399_0050,19,31
1502401_0050,1,51
1502425_0050,19,33
1502427_0050,2,34
1502428_0050,33,14
1502436_0050,4,41
1502437_0050,14,26
1502441_0050,19,43
1502447_0050,1,37
1502453_0050,19,52
1502464_0050,2,35
1502465_0050,14,23
1502468_0050,2,45
1502471_0050,4,29
1502477_0050,2,7
1502478_0050,4,19
1502484_0050,2,60
1502485_0050,2,21
1502487_0050,14,68
1502491_0050,19,33
1502497_0050,14,55
1502498_0050,7,46
1502500_0050,19,34
1502508_0050,19,45
1502509_0050,14,27
1502514_0050,19,49
1502517_0050,2,36
1502520_0050,4,41
1502525_0050,4,35
1502526_0050,19,47
1502528_0050,19,28
1502533_0050,19,75
1502534_0050,14,34
1502538_0050,19,66
1502545_0050,19,25
1502554_0050,2,54
1502561_0050,61,35
1502567_0050,14,36
1502569_0050,4,60
1502572_0050,4,66
1502577_0050,19,29
1502578_0050,4,18
1502584_0050,14,108
1502585_0050,2,43
1502592_0050,9,54
1502594_0050,19,41
1502600_0050,14,26
1502603_0050,14,38
1502611_0050,2,20
1502613_0050,61,23
1502615_0050,4,25
1502620_0050,19,19
1502622_0050,19,41
1502631_0050,2,18
1502632_0050,14,15
1502637_0050,2,21
1502641_0050,2,23
1502645_0050,14,34
1502648_0050,15,53
1502652_0050,2,70
1502658_0050,19,55
1502659_0050,2,47
1502667_0050,14,24
1502668_0050,14,43
1502674_0050,2,28
1502677_0050,19,35
1502678_0050,2,33
1502693_0050,14,50
1502697_0050,45,11
1502700_0050,19,24
1502705_0050,14,45
1502712_0050,15,55
1502723_0050,2,32
1502730_0050,56,5
1502731_0050,14,37
1502732_0050,14,39
1502735_0050,14,36
1502739_0050,14,39
1502741_0050,2,26
1502749_0050,14,22
1502752_0050,15,37
1502764_0050,2,75
1502765_0050,15,38
1502770_0050,33,57
1502771_0050,2,26
