cif,formula
1540469,H120 C128 Br8 N8
1540474,H96 C96 Br4 N4 O4
1540477,H84 C72 N4 O16
1540480,H68 C72 N4 O8
1540500,H56 C60 S4 N8 O12
1540511,Li4 H108 C76 N8 O4
1540512,Li2 H70 C50 N4 O2
1540514,H64 C48 O20
1540516,B4 H72 C96 N8 Cl12 O20 F24
1540521,H64 C56 S4 O4
1540524,H200 C152 N4 O56
1540526,H96 C68 O20
1540527,H84 C44 N12 O20
1540530,P8 H248 Rh8 C180 S8 N8 O8
1540540,Mn12 H140 C136 N20 Cl4 O60
1540547,Mg4 B4 H160 C96 I4 N24
1540567,H180 Au25 C158 S18
1540571,H56 C44 N8
1540583,B2 H62 Rh2 C108 N2 O2 F40
1540584,H58 C42 N2 O14
1540585,Sc6 H72 C219 S10 N6
1540590,H14 C30 O4 F2
1540591,H104 C92 N4 O8
1540594,H128 C168 O32
1540598,Si4 H84 C84 N4
1540599,H68 C92 N4 O12
1540600,H36 C58 N2 Cl2 O2
1540603,B4 H48 C60 N12 O4
1540606,H136 C96 S16 N8 O24
1540608,H74 C64 S4 Br2 N6 Cl2 O12
1540617,H52 C60 S2 O6
1540620,H104 C120 S4 O12
1540625,P4 H84 W4 C128 O20
1540629,Mo2 H158 C114 N10 O8
1540641,Y8 H146.9312 C128 N32 O61.4656
1540651,Fe4 H96 C44 Br8 N16
1540656,In12 Co3.384 H48 C144 O96
1540665,Zn8 H160 C176 N32 O32
1540667,Zn4 H146 C120 N18 O26
1540675,H66 Au2 C102 N12 O4
1540680,Co2 H48 C84 S4 N12
1540689,H128 C96 O24
1540690,H165.688 C128 O34.844
1540693,H174 C156 N24 Cl36 O24
1540695,H64 C84 S8 N4 O24 F4
1540696,H84 C48 S4 N4 O20
1540706,H10 C14 N2 O8
1540726,H44 C38 N4 O2
1540730,H112 C100 N8 Cl8 O12
1540734,H80 C108 N8
1540736,H24 C28 N4 O4
1540737,H136 C80 Br8 O32
1540738,H96 C132 Br4 N12 O4
1540743,P4 H80 C60 N4 O20
1541168,Si12 H7.9968 C4 O27.9996
1541401,Co26 H72 C78 N10 O50
1541433,In8 H80 C24 O88
1541516,Nb24 H240 C104 N44 Cl36 O27.46
1541518,Na2 Mo6 H58 C16 Br8 O16
1541659,Sn2 Sb4 H48 C16 S4 Cl4
1541663,Ag2 B2 H16 C8 N16 F8
1541686,P8 H104 Au8 C32 Se8 N16 Cl8
1541687,Sn24 P16 H144 C48
1541688,H24 C4 N24 O16
1541694,Cu2 H36 C8 N20 Cl4 O4
1541707,Re12 H12 C48 O48
1541709,Re9 H9 C36 O36
1541730,Cu8 H64 C36 N16
1541736,Cu8 H96 C8 N48 Cl32 O8
1541773,Si18 B18 H108 C36 N18 Cl36
1541793,Rb4 H24 C8 S8 N4 O16
1541800,Cu8 H32 C20 N16
1541825,Na8 H16 C24 S16 N8 O48 F48
1541885,P4 H140 Au4 C92 N4 O4
1541896,Fe4 H152.4 C160.2 N40 Cl8 O45.4
1541898,Fe4 H150 C159 N40 Cl8.0 O45.0
1541905,Al2 H120 C118 N6 O4 F12
1541913,Si4 H100 C56 S4 N4 O20
1541914,H84 C44 S4 N4 O20
1541915,Co2 H112 C160 N4 O8
1541927,H76 C76 S4 O12 F12
1541929,H100 C100 O8 F4
1541932,V30 Fe6 Sb12 H144 C36 N36 O102
1541945,Cu4 H4 C4 S4 O20
1541989,Mo12 H48 C16 N4 O38
1542263,H136 C196 S4 N8 Cl8 O8
1542264,H96 C144 S12 N8 O8
1542265,H112 C168 S8 N8 O8
1542268,H160 C116 O40
1542269,H80 C58 O22
1542271,Cr8 H272 C144 N32
1542273,Cr8 H288 C160 N32 O8
1542291,Re4 H32 C64 N16 Cl12 O12
1542293,H60 C48 N4 O4
1542301,H160 Ir4 C168 S12 N24 O12 F12
1542304,H96 C76 N8 O4
1542308,H20 C28 S2 Br2 N2 O8
1542310,H44 C64 S4 N4 Cl8 O20
1542311,Zn2 H97.64 C91 N12 O3
1542315,H120 C128 N16 O24
1542323,Co4 H148 C272 N76
1542332,P2 H34 C32 O8
1542344,H64 C80 N16 O16 F32
1542347,B4 H92 C88 N4 F12
1542362,H36 C50 Br2 N2 O8
1542365,H34 C44 S2 O6 F2
1542367,P4 H92 Ru4 C96 Cl8 O4 F24
1542369,H60 C100 N4 O8
1542371,H128 C204 N8 Cl8 O16
1542375,H76 C44 S4 N4 O4
1542378,H72 C76 S4 N8 Cl8 O12
1542385,H176 C136 O28
1542392,H68 C80 S4 N4 O20
1542395,H100 C84 S4 N12 O4
1542396,H64 C84 O12
1542400,K4 U4 H152 C96 Br8 O4
1542403,H112 C124 S8 N20 Cl4 O24
1542409,H28 C52 N8 O4 F12
1542412,H100 C128 N8
1542415,Fe4 Ni4 H68 C76 Br8 N12
1542420,H50 C64 N2
1542423,Ni4 H100 C72 N12 O16
1542425,Ni4 H100 C100 N12 O16
1542453,H176 C192 S16 N16
1542455,H80 C80 N32 O8
1542457,Cd1 H36 C52 N10 O4
1542460,H96 C64 N32 O16
1542463,Mo16 P16 H160 C192 O64
1542464,Cd4 H100 C92 S16 N12
1542465,H68 C72 N8 Cl4 O4
1542472,H20 C16 N2 O8
1542475,H180 C104 Br8.0 N24 O6
1542482,Na4 H24 C36 S4 O12
1542483,H40 C40 N16 Cl8 O4
1542484,H28 C14 S2 N2 O8
1542486,H88 C84 Br4 N4 O16.0
1542488,Zn2 H32 C12 S4 N4 Cl4 O4
1542489,H26 C28 S4 N2 O4
1542490,H48 C48 N2 Cl2 O8
1542501,H80 C68 Br4 N4 O4
1542505,H120 C104 O32
1542513,Ag4 H56 C48 S4 N12 O12
1542515,H60 Pt2 C76 S4 N8 O24
1542522,H40 C36 O6
1542534,H144 C152 N16 O24
1542535,H40 C44 S4 N4 O12 F4
1542540,Cs4 B48 H104 C16 N4 O4
1542543,H37.2006 C54 N36 O0.6
1542545,H28.0008 C111.9984 N55.9992 F84
1542561,H136 C100 O8
1542566,H108 C72 N4 O20
1542570,H20 C26 N2 Cl2 O4
1542583,Fe6 H22 C32 S4 N2 O14
1542584,Fe6 P4 H70 C80 S4 N2 O10
1542596,H54 C36 S2 N4 Cl2 O24
1542597,H96 C92 S8 N8 O16
1542602,H44 C48 N8 O12 F12
1542603,H36 C52 N20 O8
1542606,H38 Rh2 C24 Cl4
1542610,H16 C40 I4 N4 O16
1542614,H16 C40 I8 O8
1542616,H152 C228 Cl12.0
1542618,H64 C54 O16
1542622,H36 C56 N16 Cl4 O28
1542626,H108 C116 N12 O20
1542631,H176 C136 N16 O40.0
1542642,H96 C112 S4 N8 O20
1542650,H8 C20 Br2 N2 O4 F16
1542656,P4 H44 C80 S8 Cl24 O8
1542672,H56 C68 N8 O16
1542680,H192 C256 O48
1542687,H68 C96 N8 Cl4 O12
1542689,H80 C88 N32 O24
1542693,H160 C208 N8 O8 F24
1542694,H50 C58 N2 O6 F4
1542695,H96 C72 O12
1542697,H32 C38 S4 O8
1542699,H32 C34 N2 O2 F2
1542702,H12 C20 N6 O2 F6
1542719,H38 C32 S2 N2 O6
1542721,H76 C64 S4 N4 O16
1542722,H104 C136 S8 Br8 N8 O32 F24
1542724,H72 C64 S4 N16 O12
1542727,Ag2 P4 H72 C76 S2 N1 Cl1 O5
1542739,H6 C14 S2 N2
1542742,H80 C66 S2 O14
1542744,H136 C112 N8 O24
1542745,H76 C64 N4 O20
1542748,H168 C192 S8 N40 O32
1542749,H168 C192 S8 N40 O32
1542750,P2 H68 C54 N10 O10 F12
1542757,Bi8 H156 C64 N28.0 Cl32
1542773,Ag4 H40 C61 N4 O8 F28.0
1542774,Ag8 H72 C112 N8 O16 F56
1542785,H136 C124 N16 O28
1542786,H60 C54 N4 O18
1542792,H56 C62 N4 O18
1542794,H52 C60 N6 O16
1542797,H60 C62 N4 O16
1542798,H136 C156 N16 O28
1542799,H176 C216 N16 O56
1542800,H52 C58 N8 O16
1542804,H84 C116 N14 O16
1542811,H48 C68 N4 O14
1542812,H76 C48 S4 N12 O12
1542815,H76 C48 S4 N12 O12
1542819,H72 C48 S4 N8 O12
1542820,H120 C88 S8 N16 Cl8 O24
1542838,B2 H26 C32 O6 F4
1542847,H32 C48 N4 Cl20 O4
1542849,H14 C24 N2 Cl10 O2
1542857,H112 C112 N16 O32
1542869,Si8 Ge32 H264 C88
1542870,Si4 Ge8 H78 C26
1542872,Si24 Ge6 H180.0 C60
1542875,Ge15 H144 C54
1542877,H48 C20 S4 N4 O12 F12
1542900,H96 C96 O8
1542905,H176 C108 O28
1542907,H144 C96 O12
1542909,H76 C68 S12 N12 O8
1542917,Ca4 H104 C64 S8 N16 O24
1542924,H80 C72 N8 O16
1542927,H224 C152 N16 O8
1542938,Zn4 H24 C44 N4 O20
1542939,P4 H120 Pd2 C80 N2
1542960,H80 C80 S4 N8 O8
1542962,H96 C104 S4 N8 O8
1542973,H64 C88 S4 N8 O8
1542974,H64 C88 S2 N4 O10
1542977,P4 H112 Ir4 C136 N16 O8 F24
1542978,H84.0 C72.0 N12 O8
1542984,H100 C112 S4 N12 O12
1542994,H36 C60 S4 N12
1542996,H104 C136 N16 O24 F8
1542999,H120 C120 Cl8
1543003,H168 C192 S8 Cl8 O24
1543005,H72 C92 S4 Br4 O8 F4
1543017,B4 H28 C96 N4 F60
1543021,H144 C152 O40
1543029,B4 H164 Pd2 C172 N12 F16
1543034,Si4 H196 C96 N4 O8
1543035,H70 C60 N6 O4
1543042,H42 Pd1 C30 S4 N4 O2
1543044,H156 Ru4 C200 N28 Cl40 O32
1543045,H48 C56 N16 O8
1543049,H52 C44 S2 N8 O8
1543050,H80 C68 N16 O8
1543055,H24 C12 O12
1543059,Zn4 H40 C16
1543060,Zn2 H16 C4
1543064,H64 C104 N8 O4
1543072,B2 H84 C71 N6 O6 F8.0
1543090,H40 C52 N8 O20
1543095,H32 C28 S2 N4 O6
1543098,H48 C40 N4 O14
1543101,U4 Si8 H288 C164 N4 O4
1543118,H76 C64 Br8 N8 Cl12 O12
1543124,H42 C58 S2 Br2 N4 O6
1543128,H44 C32 N12 O16
1543133,H144 C200 N8
1543143,B4 H116 C76 O12
1543145,B4 H68 C52 N8 O8 F16
1543151,H240 C152 O16
1543154,H36 C40 Br2 N2 O6
1543181,H44 C64 Br4 N8 O12
1543182,H56 C54 S2 N6 O8 F6
1543186,B40 H128.22 Pt2 C64.11 N4 O4.022
1543187,B40 H130 Pt2 C64 N4 O1
1543189,H40 C54 O2
1543192,H80 C112 O8
1543196,H26 C26 N8 Cl2 O6
1543198,H28 C52 N12 O12
1543214,H84 C100 N4 O16
1543216,H108 C96 N4 O28
1543225,H80 C44 O12
1543230,H36 C40 S4 N16 O4 F4
1543234,H52 C64 S4 N8 Cl4
1543247,Si4 H140 C136 N20 O4
1543254,H24 C64 N8 Cl16 O16
1543255,P2 H12 Pt2 C73 S6 Cl2 F48
1543256,H68.0 C96 S4 N16 Cl4 O12
1543272,H120 C184 N8
1543275,H224 C208 N32 O48
1543294,Cr4 Co2 H32 C40 N16 O14
1543296,Cr4 Ni2 H32 C40 N16 O14
1543302,Ga2 Ge2 H112 C78 S4 N8 Cl6 O4
1543304,H96 C80 N16 O8
1543306,H108 C88 N12 O12
1543309,H208 C176 N24 O24 F8
1543320,H72 C104 Br8 N24 Cl8
1543321,B40 H56 C20
1543325,H30 C108 S6 F30
1543331,H72 C80 N4 Cl4 O24
1543334,H132 C128 O24
1543336,H46 C40 N2 O14
1543339,Fe4 P4 H152 C140 N12 O4
1543344,H60 C36 N4 O16
1543347,H36 C32 N4 O12
1543362,H172 C134.0 N4 O46.24
1543374,H160 Ru4 C124 N8 Cl8 O12
1543376,P4 H52 C62 O2
1543382,Fe4 B8 H156 C156 N40
1543389,H22 C18 N2 O10
1543396,H84 C104 N12
1543401,H152 C144.0 N8 O24
1543404,H60 C60 N4 O4
1543405,H152 C144 N8
1543406,H136 C136 N8
1543411,H68 Pd6 C94 S12 N12 Cl4.0 O40
1543414,Cu7.52 H128 C180 S12.048 I7.52 N16
1543419,H24 Pd2 C28 S4 Cl4
1543421,H64 C32 S8 N16
1543425,H36 C44 S4 N8 Cl4 O4
1543429,H112 C120 S4 N8 O8
1543431,B80 H72 C16 N8 O16
1543438,H76 C76 N4 O8
1543445,Fe4 H132.0 C96 N8 O6
1543461,H80 C64 N16 O8
1543468,B8 H100 C112 S6 N8 Cl24.0 O16
1543470,B8 H102 C114 S4 N10 Cl24 O16
1543474,H14 C18 N6 O6
1543477,H16 C18 S2 N4 Cl2 O2
1543480,H32 C44 S4 N8 Cl8 O4
1543482,H64 C88 N8 Cl8 O16
1543483,H26 C34 S2 N2 O6
1543484,Na8 B8 H72 C16 O56
1543504,H76 C92 N12 O8
1543515,H40 C80 I4 N12 F16
1543516,Zn8 Ni4 H144 C84 N8
1543517,Zn4 Ni2 P6 H90 C40
1543527,H120 C160 S8 N8 O16
1543529,H80 C96 N8 O24
1543532,H24 C40 S4 N4 Cl4 O8
1543533,H20 C16 N6 O6 F6
1543534,Si12 P4 H128 Pd2 C44 N8 Cl4 O2
1543535,H128 C144 S8 N16 O16
1543536,H88 C112 N24 O16
1543542,Cs4 H28 C28 O16
1543552,H152 Ru4 C112 N8 Cl8 O4
1543553,H144 C104 O20
1543554,H144 C106 O30
1543556,Zn2 H46 C43 N2 O19
1543561,Cd4 H84 C88 N20 O36.5
1543562,Cd4 H60 C68 N6 O28 F2
1543563,P24 H64 C64 N32 Cl40 O16
1543565,P12 H128 C128.0 N28 Cl8 O32
1543567,P16 H64 C64 N24 Cl24 O16
1543571,H52 C40 N4 O4
1543580,Ag8 H80 C64 I16 N16
1543582,Ag2 H40 C32 Br6 N8
1543585,Zn2 H20 C30 O12
1543586,P2 H36 C44 N2 O4.258
1543597,Mg1 H40 C34 S2 Br2 O26
1543598,H44 C52 S4 O4 F12
1543605,H56 Pt4 C44 S4 N12 Cl4 O12
1543607,H96 Pd4 C80 N8 Cl8 O16
1543621,H88 C88 N24 O32
1543623,Zn2 H22 C34 N6 Cl4
1543627,H56 C72 S8 N8 O40
1543630,H168 C188 Br4 N12 O24
1543637,H68 C128 F16
1543640,H64 C50 O14
1543643,La4 H112 C48 Cl8 O24
1543645,Sb4 P4 H62 C121 Cl18 O12 F60
1543648,Sb2 P2 H28 C60 F20
1543652,Sb4 P4 H110.74 C170.9 Cl31.06 O12 F40
1543658,Cu4 H32 C40 Br8 N8 O8
1543669,B8 H88 C120 N8
1543671,H143.996 C191.9992 N24 O16 F8
1543672,H60 C44 S4 N12 O16
1543682,H136 Pd4 C96 S24 N16
1543683,H28 C40 S8 N16 Cl12 O4
1543710,B2 P4 H168 C172 N8 F48
1543717,H76 Au4 C72 N4 Cl4 O4
1543718,H168 Au8 C152 N8 Cl8 O8
1543724,H80 C52 S4 N8 O28
1543740,H28 C32 N4 Cl4 O4
1543746,B2 H40 C35 O4
1543753,H52 C48 N4 O4
1543754,H80 C128 N8
1543755,H14 C12 S2 N10
1543758,Ni2 H154.818 C150.002 N10 Cl2.454 O2.592
1543764,H112 C60 Cl8 O16
1543766,H80.0 C76.0 N8.0 Cl8.0
1543769,H60 C88 S4 N12 O20
1543770,Zn2 P4 H147 C148 N17 O10 F24
1543781,H152 C184 N8 Cl16 O24
1543789,H144 C116 S4 N12 O4 F24.0
1543792,H164 C124 N16 Cl16 O8 F28.0
1543793,H56 C80 Se4 S4 N8 O4
1543794,H38 C54 Se4 N6 Cl4 O4
1543799,H112 C104 N16 O24
1543807,H38 C42 Br2 O4
1543808,H30 C36 N2 Cl8.0 O6
1543810,H88 C128 N8 O16
1543813,H58 C62 N4
1543815,H160 C152 S16 N8 Cl8 O24
1543817,H176 C168 S8 Br8 N8 O24
1543819,H78 C60 S2 N6 O20
1543828,H176 C208 N16 O16
1543829,H64 C52 O10
1543836,H52 C68 N8 F20
1543843,H163.356 Pd4 C180 Br0.644 N20 Cl8
1543852,H104 C128 Cl8 O24
1543859,H72 C32 N8 O16
1543877,Zn4 H120 C60 N8 Cl16 O4
1543884,B16 H96 C36 O32
1543890,H30 C28 N6 O8
1543893,H48 C60 S4 N8 O8
1543894,H28 C42 S2 N4 O4
1543895,H96 C96 N16 O24
1543896,H40 C44 N8 O8
1543902,P8 H136 Pt4 C156
1543909,H96 C76 O24
1543913,H92 C76 Br4 O20
1543945,Ni4 H104 C128 N16 O20
1543946,Co4 H104 C128 N16 O20
1543947,P2 H56 Ir2 C74 N8 Cl4 O2 F20
1543956,Cd4 H72 C80 N24 Cl8 O8
1543964,Mo16 H64 C36 N16 O56
1543967,Mo32 H128 C80 N32 O104
1543968,Mo16 H72 C44 N16 O52
1543979,H60 C76 N12 O4
1543993,Al8 H160 C128 N8 O8
1543994,Al4 H80 C62 N4 O4
1544002,H112 C188 O20
1544005,H18 C28 N4 O2
1544017,Co4 H88 C104 N32 O32
1544018,H56 C52 N16 O20
1544019,Cu4 H52 C52 N16 Cl4 O20
1544023,V4 H104 C76 N20 O24
1544027,H56 C80 S8 N8 Cl8 O16
1544030,H120 C144 S16
1544032,H64 C54 S4 N2 F2
1544035,H14 C20 S2 N4 O2
1544040,H76 C92 S4 N4 O8
1544041,P8 H252 Pt4 C172 S8
1544042,Ca8 H132 C96 S8 N12 O48
1544051,Cd4 H104 C100 N16 O20
1544055,Cu12 H200 C200 N16 O40
1544060,Zr8 H216 C184 N8 Cl16
1544061,P2 H32 C24 N6 O4 F12.0
1544066,H92 C76 Br4 N4 O16
1544070,H28 C48 N20 O4
1544071,Fe2 Ag4 H14 C20 N14
1544135,Zn2 H40 C52 N8 F20
1544137,H48 C66 O8
1544139,B4 H52 C56 S4 N4 F16
1544141,H60 C60 S4 N4 O4
1544146,H112 C96 N32 O24
1544166,H152 C128 O12
1544167,H64 C88 N4 Cl4 O8
1544168,H136 C120 O12
1544172,H208 C152 O16
1544177,B4 H60 C92 O12 F8
1544179,H72 C96 S4 N14 O16
1544191,H50 C42 S4 N6 O10
1544197,B4 H66 Pd2 C68 N10 O2 F16
1544204,Zn4 H166 C228 S8 N26 O32 F32
1544206,H32 Au4 C52 I8 N4
1544208,H72 C60
1544211,H20 C56 N4 O8 F24
1544214,H72 C76 N8 O8
1544216,H44.0 C44.0 I4 N12 O4.0 F8
1544217,H36 C28 S4 Br12 N8
1544224,H16 C4 N8 O4
1544229,H60 C44 N4 O20
1544233,H44 C52 S4 N6 O8 F6
1544234,H68.0 C72.0 S4.0 N8 O4.0 F12
1544235,H100 C88 N4 O12
1544241,P4 H84 C84 S4 N8 O4 F24
1544247,H68 C104 N12 O24
1544248,H128 C208 N32 O64
1544253,Si4 H62 C46 N2
1544256,H60 C40 N4 O12
1544266,Co4 H104 C80.0 N16 Cl8
1544267,Co4 H96 C68 N16 Cl8
1544269,Co2 H68 C24 N8 Cl4 O4
1544270,Co4 H128 C88 N16 Cl8 O4
1544271,Co4 H120 C160 N8 O16
1544272,Co2 H40 C22 S2 N22 O6
1544274,H64 C72 N4 Cl4 O4 F8
1544278,P8 H104 C56
1544280,Ni4 P8 H184 C108 O8
1544282,Na8 H56 C32 S8 N16 O32
1544284,H44 Ru2 C60 N10 Cl4 O7
1544289,H28 C32 N16 O4
1544290,H76 C68 N12 O16
1544300,H64 C96 N16
1544305,H80 C80 N8
1544308,H136 C88 S8 N24 O40
1544310,H132 C112 N16 Cl4
1544312,H36 C64 N12 O12
1544316,Fe6 H126 C132 N6 O18
1544317,H116 C88 I4 N8 O20
1544321,Na8 H212 C112 S16 N8 O102
1544322,H204 C120 S8 N8 O40
1544324,Co2 P2 H68 C58 N8 O4
1544348,Si4 H68 C44 N4 O4
1544384,H136 C144 S8 N16 O16 F24
1544398,H46 C48 S2 N6
1544400,H168 C160 N8 O44
1544402,H112 C152 S8 N24 O4
1544418,H42 C40 N4 Cl2 O4
1544421,H120 C96 N8 O8
1544438,H72 C48 N4 O4
1544458,H44 C44 N8 Cl4 O20
1544463,H128 C100 N8 Cl8 O24
1544475,H72 C44 O14
1544476,H80 C116 Br4 N4 O8
1544477,H68 C88 N4 O8
1544487,H128 C80 O40
1544515,H96 Ir4 C66 N8 Cl12 O12
1544518,Cu4 H71.64 C44 N28 Cl4 O24
1544522,H144 C160 N16 O32
1544523,Si4 H128 C104 N16 O16
1544528,H32 Pb4 C8 S8 N16 Cl8
1544531,Mn8 H176 C144 N16 Cl8 O80
1544537,H40 Au4 C196 I16 N16 F60.0
1544539,Cu4 H24 C152 I16 N16 Cl8 F60
1544542,Zn4 H56 C88 N16 Cl8
1544546,H28 C34 N6 Cl2 O8
1544558,H44 C64 I4 N12 O4 F8
1544581,H24 C24 N4 O10
1544582,H136 C64 N20 Cl4
1544588,Zn2 H96 C70 N4 O2
1544589,Zn2 H100 C80 N4 O4
1544592,H36 C30 S4
1544626,H80 C100 S4 N16 O4
1544648,Sb2 H24 C18
1544650,Sn4 P4 H140 C172 O16
1544652,Ni8 H152 C168 N32 Cl40 O12
1544658,P4 H144 Ir4 C156 Cl8 O8
1544659,Re4 H48 C88 I4 N24 O12
1544661,H68 C68 N4
1544688,H192 C120 O32
1544695,H32 C52 S8 Br4.0 N12
1544697,Cu4 H112 C88 S16 N4 Cl16 O4
1544708,H112 Ir4 C140 N24 Cl4
1544712,P4 H104 Ru4 C116 N20 Cl4 F24
1544723,H176 C152 O48
1544737,H84 C64 S4 N4 O4
1544742,P4 H152 Au4 C104 S4 N8
1544780,Zr4 H114.08 C64 N16 O49.44
1544781,H56 C42 O10
1544783,Zn2 H40 C71 S4 N8 F4
1544785,Zn4 H80 C112 S8 N16 F8
1544789,H68 C56 S4 N12
1544792,P8 H192 C128 S8 O32
1544796,Mo2 H38 C32 N2 O12
1544797,Mo4 H84 C68 N4 O28
1544809,Fe1 H24 C14 S2 N24 O6 F6
1544811,H12 C28 Br4 F8
1544825,H86 C104 N2 O4
1544827,H128 C80 I8 N8 O24
1544843,H112 C140 N16 O4
1544844,H108 C124 N4
1544926,Al8 H80 C192 O16 F120
1544927,H16 C24 S4 N4 O4
1544937,H116 C120 Br8 N12 Cl8
1544939,Si4 H164 C128 S4 N4 O28
1544943,H96 C112 N8 O8
1544945,H68 C92 N4 Cl8 O4
1544957,H96 C96 S4 N8 O8
1544958,H120 C72 N8 O20
1544965,Sb4 H48 C32 S8 Cl28 F24
1544966,H68 C64 S4 N4 O8
1544967,H84 C80 S4 N4 O8
1544972,Fe4 H60 C56 S4 N4
1544977,Ga4 H120 C98 N20
1544984,Cu4 H30 C34 S4 I4 N6
1544985,Cu16 H128 C140 S16 I16 N24 Cl8
1544996,B8 H100 C152 N4 O8 F80
1545009,H52 C44 O22
1545011,H36 C48 S4 Br4 N8 O8
1545017,H64 C60 S8 N4 O8 F4
1545030,H20 C22 S2 N2 Cl2 O4
1545031,H60 C68 S4 N4 O8
1545038,Mo2 P2 H70 C66 O6
1545042,H44 C64 N8 O4 F4
1545044,H64 C88 N8 O16 F8
1545056,Hg4 H32 C60 S8 N12
1545090,P4 H116 C88 N12 O36 F4
1545091,P2 H34 C36 N2 O10 F10
1545093,H102 Ru2 C108 Cl2 O4
1545094,P8 H200 Pd4 C184 Br4 N12 Cl8 O8
1545099,H24 C32 S4
1545107,B40 H152 Ir8 C80 O8
1545128,H40 C42 O10
1545140,H160 C224 Br8 N32 O36 F8
1545164,H80 C76 O20
1545171,H72 C80 N8 O16
1545174,B4 H48 C60 Cl4 O12
1545179,H32 C32 S4 Br4 N20 O4
1545180,H62 C40 S4 N16 O27
1545187,H108 C128 S8 N4 O16
1545189,H100 C100 N4 O20
1545197,H80 C80 O20
1545198,H120 C84 O20
1545219,H52 C68 N4 O12
1545220,H168 C116 O24
1545222,H104 C112 S4 N8 O8
1545223,H120 C128 S4 N8 O8
1545224,H88 C80 N4 Cl4 O8
1545230,H56 C68 N4 O4 F4
1545232,Si4 H164 C152 N4 O12
1545236,H68 C52 N4 O8
1545257,Fe2 H60 C62.2464 N48 Cl4 O20.4928
1545258,Fe2 H66.5424 C63.2712 N48 Cl4.0 O16
1545259,Fe2 H66.24 C61.56 N48 Cl4 O16
1545262,Fe2 B4.0 H66.72 C61.68 N48 F16
1545267,Si8 H239.8 Ru4 Pb4 C162.2 Cl0.6
2000015,Mo6 H83 C90 S8 N17
2000025,P6 H230 W6 C122 S8
2000027,K8 Te6 H32 Pb2 C8 N12
2000048,P4 C16 N48 Cl4 O24
2000053,H174 Pd6 C120 N12 Cl6 O12
2000054,H24 C18 N4 O10
2000066,P4 H32 C8 N4 O24
2000070,H128 C144 S8 O8
2000081,P4 H40 C12 N4 O24
2000088,P2 H24 C8 N2 O12
2000095,Co8 P8 H116 C148 N4 O16
2000111,P8 H216 C176 N32 O48
2000133,Ga12 P8 H64 C8 N8 O48 F12
2000147,H76 C56 N12 O28
2000156,H72 C68 N8 O28
2000165,H64 C72 O16
2000167,H128 C144 O40
2000172,Fe2 H38 C31 N6 Cl2 O22
2000179,H136 C136 N16 Cl8 O8 F48
2000180,H84 C72 N16 Cl12 O48
2000187,H80 W8 C128 N48 O32
2000190,H88 C80 O8
2000193,H224 C144 N16 O24
2000200,H58 C48 N2 O14
2000216,H100 C72 N12 O16
2000217,H64 C104 N8 F8
2000220,H44 C48 N12 O24
2000221,P8 H52 C24 N4 O48
2000233,H40 C44 O8
2000234,H40 C48 S4 O12
2000251,H54 C30 N3 O15
2000255,H26 C24 N6 O2
2000266,Na4 Co4 P12 H92 C44 O36
2000270,H192 C128 N32 O64
2000288,H44 C28 Br2 N10 O8
2000297,H124 C92 Cl4 O16
2000302,Ni8 H128 C112 S16 N80
2000307,Al4 H62 C18 N4
2000311,H128 C120 S8 O32
2000315,Cu4 H40 C40 Br8 N32 O4
2000324,Ni2 H36 C36 O12 F24
2000344,Cu2 H26 C32 N8 Cl2 O24
2000371,H48 C56 N8 O8
2000384,P2 H36 Pt1 C40 N2 O2
2000388,Si4 H88 C76 O4
2000389,H16 C16 S2 N8
2000390,H48 C52 O12
2000391,H32 C40 N8 O4
2000395,H56 C74 N2 Cl2 O16
2000402,H64 C64 O8
2000406,H104 C112 N8 O16
2000410,H88 C80 Cl8 O24
2000414,H128 C192 N48
2000417,H26 C16 S2 N2
2000427,Cu4 H96 C104 N8 O32
2000428,H80 Pt4 C16 S8 Br8 N16 O32
2000434,H56 C40 N40 O16
2000440,H32 C48 O16
2000460,H32 C36 O8
2000465,Sn8 H168 C200 S8 N8 O16
2000472,B2 H70 C76 N4 O2
2000474,H40 C20 S8 O12
2000484,H40 C96 N24 O48
2000493,H216 C144 Br4 N12 O16
2000495,H124 C104 S4 N4 O16
2000497,P4 H56 C24 S8
2000506,H32 Au4 C8 S8 Br4 N16
2000514,Sc2 H58 C40
2000519,Cu4 H68 C52 N16 O28
2000523,H76 C60 N8 Cl4 O4
2000527,H88 C48 N4 Cl4 O12
2000530,H144 C144 O16
2000532,H96 C112 N16 O16
2000545,H124 C116 N12 O20
2000548,H128 C88 O24
2000550,H136 C104 O24
2000560,H104 C88 N8 O20
2000566,Ni2 H66 C80 N2 Cl6 O8
2000568,Ni2 H54 C34 N2 O8
2000574,H20 C12 N16 O16
2000577,H56 C40 O10
2000579,H24 C20 O10
2000592,Fe4 H92 C68 Cl8 O24
2000594,Co4 P12 H62 Pt4 C50 O36
2000601,H32 C50 N2 Cl2 O6
2000607,Ni2 H90 C46 S4 N10
2000610,Sn4 H76 C84 N4 O12
2000614,H56 Rh2 C34 N4 Cl2
2000617,Na4 Co4 H128 C52 S16 N16 O64 F48
2000622,H22 C34 S2 N4 Cl2 O8
2000623,H20 C12 N12 O20
2000629,H40 C24 O16
2000631,Si8 H224 C112 O28
2000641,H20 C30 O6
2000669,P8 H128 Ru4 C120 O24
2000690,H60 C72 N12 O16
2000692,H76 C80 N12 O16
