name,a,b,c,alpha,beta,gamma
4123709,22.387497918113755,8.888921115213298,7.598611400239012,90.77679259439039,93.44866316851659,86.73464115181878
2241812,29.29378511662078,9.712531354103517,6.154380559064855,92.12795588006166,85.21394447927698,89.44473283239908
2215118,19.793970025091177,14.089045076327995,8.119856763731075,90.57925676530093,91.0850110071734,92.6642929899529
4312085,14.29940644087569,9.74676190941258,8.527874032661293,92.24826441472105,92.53928348463573,91.50381644975772
2013644,15.557010937672057,9.327066849548844,8.03161227417372,93.27969913347364,92.00193596832992,90.16259348462494
4030990,27.766691473047583,9.347258782962161,5.686392288984211,89.78389543810397,82.91090013258781,88.96404188580982
4023433,28.393020860796483,10.358167450198854,5.814794859810091,90.76710054017146,85.12577645349813,92.54194867222883
4323298,14.764050395836302,14.197541722802425,13.45584164142508,89.95902936867026,89.93798269132195,93.01680558129384
2011870,19.128815597066797,11.56046941555427,8.168260096639669,92.66517836296684,93.56313508933158,90.58131226977117
2233866,18.553097884709185,11.746909603409232,7.655825846345627,92.44244727219721,92.0997718154491,92.92836387378463
2005265,23.447099557392256,10.280172730589403,5.375361276247584,89.84699316672942,85.93534823016165,92.68690609769489
2003330,13.843975346550284,10.908065680546445,7.124187059750122,95.15522176973582,88.59793095119541,92.01012469883574
2241973,16.55178657739857,14.927691103131037,11.631092952863355,89.20963475780067,91.96446665292503,100.43387769578415
7227032,14.600564023829032,10.606742347242628,8.44809359221583,92.85085201248074,91.00008319449778,92.05561481461564
2218957,14.415065173341684,13.03161194714532,6.808706740835356,95.37011864422135,88.64693329936897,92.35602167153509
4025681,12.764743147655969,10.40962399523375,6.59024096662263,93.61140802100964,86.53567451630765,93.07966515927735
2103931,22.99559860288744,9.12183117179832,7.39019900964315,91.89659613615831,92.97482785542184,87.62597632701322
4507034,19.981025016786877,10.019200505964813,7.8435990957579085,92.7008297080021,93.63063864567462,89.04504383613927
4081937,25.483167978866607,10.319733087888364,5.248691082372419,89.11819910358103,81.59173547244373,94.71904124002154
