1.0867141,0.7189932
0.7785859,0.6305463
0.6804111,0.5581259
0.6248853,0.5259786
0.5831384,0.5237604
0.5561534,0.5537280
0.5315341,0.4818375
0.5140488,0.4694461
0.4991418,0.4853286
0.4836070,0.4596117
0.4700240,0.4642703
0.4617804,0.4312275
0.4505992,0.4384742
0.4420282,0.4570737
0.4328535,0.4543865
0.4233470,0.4262041
0.4170980,0.4249970
0.4106834,0.4091100
0.4057820,0.4353918
0.4006484,0.4204455
0.3937049,0.4186475
0.3880481,0.4250932
0.3847886,0.4501596
0.3793300,0.4340580
0.3768728,0.4183004
0.3735744,0.4059314
0.3705483,0.3924277
0.3652181,0.3973561
0.3631451,0.4018005
0.3589328,0.4160114
0.3546021,0.4147606
0.3530118,0.4112579
0.3490253,0.4223909
0.3491881,0.3968697
0.3450489,0.4011865
0.3431116,0.4285281
0.3387305,0.4124613
0.3379093,0.4056389
0.3347762,0.4003759
0.3334326,0.4154608
0.3309139,0.3950454
0.3291142,0.4016989
0.3278403,0.3952128
0.3267587,0.4018864
0.3255711,0.3880511
0.3230289,0.3869332
0.3199098,0.4017229
0.3191176,0.3944615
0.3191662,0.3902948
0.3167223,0.3963398
