name,a,b,c,alpha,beta,gamma,rmse
7111863,14.105365245195744,9.170793984973885,6.268548986213132,91.08712947560733,92.85873041493977,90.8319116734396,0.049438072158970434
1529875,20.45794521010145,12.365767166504192,6.819800859282287,91.83921139523108,88.75781053218927,90.56344524758282,0.07625239129793801
1505621,13.174063061259492,10.412196038099577,6.490245326253168,92.7395495317256,91.03093945332145,93.81636832500159,0.0877805319971927
4333818,17.73290649048787,12.107987068139618,7.054405485414972,93.06134689540583,89.22630051158635,91.36500160607085,0.09053372656480864
2007443,20.525569201330736,7.270903340507659,5.9089051439840565,96.13450789707068,91.36257114151095,88.04570239166607,0.09461202748158723
4103595,14.25667518669404,8.711658360900863,6.227545601570828,91.05725700528293,92.75326290933695,90.40647402498654,0.09532736450961997
2238828,12.980195624964802,11.993684396794901,6.49792658935011,91.22459266424951,89.19090155057307,95.23374325091652,0.09698573943680168
1508740,18.451337830728665,13.314251601665022,5.717957399470886,93.66642014354025,88.62120423692276,89.98878617984604,0.10029419556852373
4023195,12.349217006068699,11.34323822643222,8.256968687058546,91.8511433916635,89.25497046160298,90.833576784746,0.1047990509418148
7150031,11.6348552365202,7.539720572090037,6.206126779870141,93.10836165584162,92.90361354904879,91.47366583916022,0.10939060663516917
4506735,16.6286699223785,9.870877179605088,8.73317747277247,90.6707397078658,93.27527744910412,91.78551352226634,0.11345969997405947
4329294,17.099978138990192,17.063554211229917,8.450846843281251,91.01100949085952,92.33321285184903,90.32199219359157,0.11526137650513495
1506636,14.921720432356762,12.360359940192328,6.194845465303613,92.20516926767655,91.8230016500563,90.10511099557726,0.11622748045661148
4341313,12.889002646499652,11.954474517154065,9.273565237520351,90.40878201278764,89.17063312272204,90.07117282159655,0.11651744082796325
2009114,24.022476654699382,7.944862884770003,6.340248039012429,94.62512921973432,87.21336604119516,87.39668185527502,0.11827478679791499
2009304,12.788254963166443,8.19580271249968,5.623330555215906,93.85005267593048,93.38614082456407,91.11019548973627,0.11892361467156035
4027612,16.987870495605733,9.969193203695433,7.867601319153801,94.53486941214086,93.31826171365081,90.58292781700028,0.1225284133862495
2201643,20.53546652176353,12.374142400751696,5.994902939972572,90.37606129476805,82.80362352246439,90.29437978710553,0.12257272556339226
